lat,lon,populacija,kategorija,boja,tip_punjaca
25.30416690145,51.420832407650025,1318.476318359375,3,yellow,Ultra brzi
25.28750023485,51.45416574085003,1312.6390380859375,2,blue,DC
25.36250023455,51.420832407650025,1308.3118896484375,1,red,AC nivo 2
25.229166901750002,51.52916574055003,1292.2017822265625,1,red,AC nivo 2
25.320833568050002,51.420832407650025,1290.7547607421875,1,red,AC nivo 2
25.26250023495,51.40416574105003,1277.274169921875,2,blue,DC
25.28750023485,51.52916574055003,1266.25341796875,1,red,AC nivo 2
25.162500235350002,51.57083240705003,1263.5716552734375,1,red,AC nivo 2
25.31250023475,51.43749907425003,1261.3807373046875,3,yellow,Ultra brzi
25.15416690205,51.46249907415003,1245.91455078125,2,blue,DC
25.26250023495,51.37083240785003,1237.6708984375,2,blue,DC
25.23750023505,51.37083240785003,1223.473388671875,3,yellow,Ultra brzi
25.32916690135,51.53749907385003,1220.941650390625,2,blue,DC
25.37916690115,51.48749907405003,1214.998779296875,1,red,AC nivo 2
25.17083356865,51.55416574045003,1209.5396728515625,2,blue,DC
25.34583356795,51.420832407650025,1206.154541015625,2,blue,DC
25.254166901650002,51.39583240775003,1203.0679931640625,1,red,AC nivo 2
25.18750023525,51.512499073950025,1200.4737548828125,1,red,AC nivo 2
25.18750023525,51.379165741150025,1173.7093505859375,2,blue,DC
25.35416690125,51.47916574075003,1167.6077880859375,1,red,AC nivo 2
25.27916690155,51.57916574035003,1155.9893798828125,3,yellow,Ultra brzi
25.30416690145,51.50416574065003,1150.514892578125,1,red,AC nivo 2
25.22083356845,51.53749907385003,1137.2821044921875,3,yellow,Ultra brzi
25.20416690185,51.512499073950025,1123.1728515625,4,green,AC nivo 2
25.37916690115,51.41249907435003,1117.85546875,2,blue,DC
25.162500235350002,51.47916574075003,1111.7874755859375,1,red,AC nivo 2
25.37083356785,51.47916574075003,1108.3060302734375,3,yellow,Ultra brzi
25.28750023485,51.47916574075003,1101.4022216796875,1,red,AC nivo 2
25.18750023525,51.50416574065003,1097.827880859375,2,blue,DC
25.28750023485,51.57083240705003,1095.268798828125,1,red,AC nivo 2
25.37083356785,51.49583240735003,1094.0341796875,1,red,AC nivo 2
25.31250023475,51.429165740950026,1093.7275390625,4,green,AC nivo 2
25.17083356865,51.53749907385003,1080.2625732421875,1,red,AC nivo 2
25.40416690105,51.39583240775003,1072.2923583984375,1,red,AC nivo 2
25.30416690145,51.37083240785003,1070.32421875,2,blue,DC
25.31250023475,51.420832407650025,1066.6229248046875,2,blue,DC
25.36250023455,51.47916574075003,1064.1007080078125,1,red,AC nivo 2
25.32916690135,51.39583240775003,1060.3704833984375,1,red,AC nivo 2
25.27083356825,51.46249907415003,1056.2325439453125,2,blue,DC
25.21250023515,51.38749907445003,1045.9205322265625,2,blue,DC
25.35416690125,51.46249907415003,1029.8192138671875,2,blue,DC
25.162500235350002,51.48749907405003,1023.1707763671875,1,red,AC nivo 2
25.21250023515,51.39583240775003,1019.37158203125,4,green,AC nivo 2
25.33750023465,51.49583240735003,1018.9139404296875,1,red,AC nivo 2
25.320833568050002,51.41249907435003,1017.56494140625,2,blue,DC
25.34583356795,51.43749907425003,1011.2612915039062,1,red,AC nivo 2
25.22083356845,51.36249907455003,1007.8385009765625,1,red,AC nivo 2
25.15416690205,51.57916574035003,1000.5155639648438,1,red,AC nivo 2
25.20416690185,51.52916574055003,998.36669921875,3,yellow,Ultra brzi
25.23750023505,51.38749907445003,995.972412109375,2,blue,DC
25.18750023525,51.35416574125003,995.3568115234375,1,red,AC nivo 2
25.17916690195,51.58749907365003,991.2828979492188,2,blue,DC
25.15416690205,51.57083240705003,989.6719360351562,2,blue,DC
25.18750023525,51.520832407250026,987.9801635742188,2,blue,DC
25.229166901750002,51.512499073950025,981.7828369140625,1,red,AC nivo 2
25.17916690195,51.55416574045003,981.5601806640625,1,red,AC nivo 2
25.36250023455,51.470832407450025,969.3873901367188,2,blue,DC
25.18750023525,51.47916574075003,969.1145629882812,1,red,AC nivo 2
25.18750023525,51.58749907365003,964.524169921875,1,red,AC nivo 2
25.20416690185,51.562499073750026,964.4773559570312,2,blue,DC
25.20416690185,51.35416574125003,962.5201416015625,1,red,AC nivo 2
25.18750023525,51.37083240785003,947.4699096679688,3,yellow,Ultra brzi
25.17916690195,51.379165741150025,947.2797241210938,1,red,AC nivo 2
25.37083356785,51.48749907405003,937.12451171875,1,red,AC nivo 2
25.412500234350002,51.420832407650025,936.0138549804688,2,blue,DC
25.35416690125,51.379165741150025,930.3460693359375,1,red,AC nivo 2
25.387500234450002,51.41249907435003,925.3704223632812,1,red,AC nivo 2
25.37083356785,51.470832407450025,918.3431396484375,1,red,AC nivo 2
25.34583356795,51.52916574055003,913.2061157226562,1,red,AC nivo 2
25.17083356865,51.48749907405003,904.182373046875,1,red,AC nivo 2
25.40416690105,51.429165740950026,897.8988647460938,4,green,AC nivo 2
25.254166901650002,51.379165741150025,896.5391845703125,1,red,AC nivo 2
25.30416690145,51.35416574125003,877.6537475585938,1,red,AC nivo 2
25.37916690115,51.47916574075003,874.468505859375,3,yellow,Ultra brzi
25.412500234350002,51.429165740950026,850.609619140625,1,red,AC nivo 2
25.21250023515,51.57083240705003,849.5880126953125,2,blue,DC
25.162500235350002,51.520832407250026,839.1095581054688,2,blue,DC
25.29583356815,51.470832407450025,832.823486328125,2,blue,DC
25.24583356835,51.57083240705003,831.3104858398438,2,blue,DC
25.18750023525,51.57916574035003,827.8215942382812,1,red,AC nivo 2
25.22083356845,51.41249907435003,827.1984252929688,1,red,AC nivo 2
25.28750023485,51.470832407450025,825.06396484375,1,red,AC nivo 2
25.17916690195,51.38749907445003,819.0327758789062,1,red,AC nivo 2
25.412500234350002,51.43749907425003,815.3930053710938,1,red,AC nivo 2
25.22083356845,51.35416574125003,809.433349609375,3,yellow,Ultra brzi
25.30416690145,51.39583240775003,807.7586669921875,1,red,AC nivo 2
25.229166901750002,51.38749907445003,791.2481079101562,2,blue,DC
25.15416690205,51.44583240755003,790.0630493164062,2,blue,DC
25.15416690205,51.470832407450025,785.2156372070312,1,red,AC nivo 2
25.254166901650002,51.38749907445003,784.4291381835938,3,yellow,Ultra brzi
25.320833568050002,51.379165741150025,780.6542358398438,1,red,AC nivo 2
25.33750023465,51.39583240775003,776.1178588867188,2,blue,DC
25.24583356835,51.38749907445003,775.5942993164062,1,red,AC nivo 2
25.162500235350002,51.49583240735003,745.8195190429688,1,red,AC nivo 2
25.387500234450002,51.44583240755003,723.835693359375,2,blue,DC
25.20416690185,51.520832407250026,723.598876953125,2,blue,DC
25.34583356795,51.39583240775003,722.6796875,1,red,AC nivo 2
